Date,Open,High,Low,Close,Adj Close,Volume
39085.00,1418.030029,1429.420044,1407.859985,1416.599976,1416.599976,3429160000
39086.00,1416.599976,1421.839966,1408.430054,1418.339966,1418.339966,3004460000
39087.00,1418.339966,1418.339966,1405.75,1409.709961,1409.709961,2919400000
39090.00,1409.26001,1414.97998,1403.969971,1412.839966,1412.839966,2763340000
39091.00,1412.839966,1415.609985,1405.420044,1412.109985,1412.109985,3038380000
39092.00,1408.699951,1415.98999,1405.319946,1414.849976,1414.849976,2764660000
39093.00,1414.839966,1427.119995,1414.839966,1423.819946,1423.819946,2857870000
39094.00,1423.819946,1431.22998,1422.579956,1430.72998,1430.72998,2686480000
39098.00,1430.72998,1433.930054,1428.619995,1431.900024,1431.900024,2599530000
39099.00,1431.77002,1435.27002,1428.569946,1430.619995,1430.619995,2690270000
39100.00,1430.589966,1432.959961,1424.209961,1426.369995,1426.369995,2822430000
39101.00,1426.349976,1431.569946,1425.189941,1430.5,1430.5,2777480000
39104.00,1430.469971,1431.390015,1420.400024,1422.949951,1422.949951,2540120000
39105.00,1422.949951,1431.329956,1421.660034,1427.98999,1427.98999,2975070000
39106.00,1427.959961,1440.140015,1427.959961,1440.130005,1440.130005,2783180000
39107.00,1440.119995,1440.689941,1422.339966,1423.900024,1423.900024,2994330000
39108.00,1423.900024,1427.27002,1416.959961,1422.180054,1422.180054,2626620000
39111.00,1422.030029,1426.939941,1418.459961,1420.619995,1420.619995,2730480000
39112.00,1420.609985,1428.819946,1420.609985,1428.819946,1428.819946,2706250000
39113.00,1428.650024,1441.609985,1424.780029,1438.23999,1438.23999,2976690000
39114.00,1437.900024,1446.640015,1437.900024,1445.939941,1445.939941,2914890000
39115.00,1445.939941,1449.329956,1444.48999,1448.390015,1448.390015,2569450000
39118.00,1448.329956,1449.380005,1443.849976,1446.98999,1446.98999,2439430000
39119.00,1446.97998,1450.189941,1443.400024,1448,1448,2608710000
39120.00,1447.410034,1452.98999,1446.439941,1450.02002,1450.02002,2618820000
39121.00,1449.98999,1450.449951,1442.810059,1448.310059,1448.310059,2816180000
39122.00,1448.25,1452.449951,1433.439941,1438.060059,1438.060059,2951810000
39125.00,1438,1439.109985,1431.439941,1433.369995,1433.369995,2395680000
39126.00,1433.219971,1444.410034,1433.219971,1444.26001,1444.26001,2652150000
39127.00,1443.910034,1457.650024,1443.910034,1455.300049,1455.300049,2699290000
39128.00,1455.150024,1457.969971,1453.189941,1456.810059,1456.810059,2490920000
39129.00,1456.77002,1456.77002,1451.569946,1455.540039,1455.540039,2399450000
39133.00,1455.530029,1460.530029,1449.199951,1459.680054,1459.680054,2337860000
39134.00,1459.599976,1459.599976,1452.02002,1457.630005,1457.630005,2606980000
39135.00,1457.290039,1461.569946,1450.51001,1456.380005,1456.380005,1950770000
39136.00,1456.219971,1456.219971,1448.359985,1451.189941,1451.189941,2579950000
39139.00,1451.040039,1456.949951,1445.47998,1449.369995,1449.369995,2822170000
39140.00,1449.25,1449.25,1389.420044,1399.040039,1399.040039,4065230000
39141.00,1398.640015,1415.890015,1396.650024,1406.819946,1406.819946,3925250000
39142.00,1406.800049,1409.459961,1380.869995,1403.170044,1403.170044,3874910000
39143.00,1403.160034,1403.400024,1386.869995,1387.170044,1387.170044,3312260000
39146.00,1387.109985,1391.859985,1373.969971,1374.119995,1374.119995,3480520000
39147.00,1374.060059,1397.900024,1374.060059,1395.410034,1395.410034,3358160000
39148.00,1395.02002,1401.160034,1390.640015,1391.969971,1391.969971,3141350000
39149.00,1391.880005,1407.930054,1391.880005,1401.890015,1401.890015,3014850000
39150.00,1401.890015,1410.150024,1397.300049,1402.839966,1402.839966,2623050000
39153.00,1402.800049,1409.339966,1398.400024,1406.599976,1406.599976,2664000000
39154.00,1406.22998,1406.22998,1377.709961,1377.949951,1377.949951,3485570000
39155.00,1377.859985,1388.089966,1363.97998,1387.170044,1387.170044,3758350000
39156.00,1387.109985,1395.72998,1385.160034,1392.280029,1392.280029,2821900000
39157.00,1392.280029,1397.51001,1383.630005,1386.949951,1386.949951,3393640000
39160.00,1386.949951,1403.199951,1386.949951,1402.060059,1402.060059,2777180000
39161.00,1402.040039,1411.530029,1400.699951,1410.939941,1410.939941,2795940000
39162.00,1410.920044,1437.77002,1409.75,1435.040039,1435.040039,3184770000
39163.00,1435.040039,1437.660034,1429.880005,1434.540039,1434.540039,3129970000
39164.00,1434.540039,1438.890015,1433.209961,1436.109985,1436.109985,2619020000
39167.00,1436.109985,1437.650024,1423.280029,1437.5,1437.5,2754660000
39168.00,1437.48999,1437.48999,1425.540039,1428.609985,1428.609985,2673040000
39169.00,1428.349976,1428.349976,1414.069946,1417.22998,1417.22998,3000440000
39170.00,1417.170044,1426.23999,1413.27002,1422.530029,1422.530029,2854710000
39171.00,1422.52002,1429.219971,1408.900024,1420.859985,1420.859985,2903960000
39174.00,1420.829956,1425.48999,1416.369995,1424.550049,1424.550049,2875880000
39175.00,1424.27002,1440.569946,1424.27002,1437.77002,1437.77002,2921760000
39176.00,1437.75,1440.160034,1435.079956,1439.369995,1439.369995,2616320000
39177.00,1438.939941,1444.880005,1436.670044,1443.76001,1443.76001,2357230000
39181.00,1443.77002,1448.099976,1443.280029,1444.609985,1444.609985,2349410000
39182.00,1444.579956,1448.72998,1443.98999,1448.390015,1448.390015,2510110000
39183.00,1448.22998,1448.390015,1436.150024,1438.869995,1438.869995,2950190000
39184.00,1438.869995,1448.02002,1433.910034,1447.800049,1447.800049,2770570000
39185.00,1447.800049,1453.109985,1444.150024,1452.849976,1452.849976,2690020000
39188.00,1452.839966,1468.619995,1452.839966,1468.329956,1468.329956,2870140000
39189.00,1468.469971,1474.349976,1467.150024,1471.47998,1471.47998,2920570000
39190.00,1471.469971,1476.569946,1466.410034,1472.5,1472.5,2971330000
39191.00,1472.47998,1474.22998,1464.469971,1470.72998,1470.72998,2913610000
39192.00,1470.689941,1484.73999,1470.689941,1484.349976,1484.349976,3329940000
39195.00,1484.329956,1487.319946,1480.189941,1480.930054,1480.930054,2575020000
39196.00,1480.930054,1483.819946,1473.73999,1480.410034,1480.410034,3119750000
39197.00,1480.280029,1496.589966,1480.280029,1495.420044,1495.420044,3252590000
